Time;Campaign;File Name;Longitude;Latitude;RSRP;RSRQ;PCI LTE;Technology;Home Operator;DL EARFCN
2022-08-20 12:06:00.161;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74.6;-9;59;LTE;Telkomsel;1850
2022-08-20 12:06:00.408;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.3;-6.3;298;LTE;Fren/Hepi;39194
2022-08-20 12:06:00.408;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86;-8;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:00.450;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-90;-15.2;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:06:00.450;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-93.3;-8.9;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:00.711;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-72.3;-7.6;240;LTE;XL;376
2022-08-20 12:06:00.711;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-81.6;-7;240;LTE;XL;1325
2022-08-20 12:06:00.762;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74;-9;59;LTE;Telkomsel;1850
2022-08-20 12:06:01.010;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-87;-6.3;298;LTE;Fren/Hepi;39194
2022-08-20 12:06:01.010;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.3;-8.3;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:01.051;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-93;-8;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:01.051;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-90;-13.6;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:06:01.112;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-81;-7;240;LTE;XL;1325
2022-08-20 12:06:01.363;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74.6;-8.6;59;LTE;Telkomsel;1850
2022-08-20 12:06:01.611;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86;-6.5;298;LTE;Fren/Hepi;39194
